id,brand,car_model,type,desc,problem,datetime,status
1081595,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车门边缘生锈腐蚀,车身电器,2023-12-31,处理反馈
1081588,比亚迪,宋Pro新能源,2022款 DM-i 110km 旗舰型,比亚迪宋Pro新能源动力电池损坏 发电机故障,车身电器,2023-12-31,处理反馈
1081584,江铃汽车,凯运,2.9T 3360轴距,江铃凯运发动机漏油 漏防冻液 传动轴故障,发动机,2023-12-31,用户评分
1081583,长安汽车,长安欧尚X5,2021款 1.6L CVT 尊贵型,长安欧尚X5发动机噪音大抖动油耗高,发动机,2023-12-31,用户评分
1081582,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放事故更换大灯亮度低,配件争议,2023-12-31,处理反馈
1081565,长安汽车,长安欧尚X7 PLUS,2022款 1.5T 蓝鲸版 自动 智尊型,长安欧尚X7 PLUS车机系统老旧 厂家不升级,服务,2023-12-31,处理反馈
1081556,一汽-大众,探岳,2021款 280TSI 两驱 豪华智联版,一汽大众探岳电瓶故障车辆无法启动,车身电器,2023-12-31,用户评分
1081550,别克,君威,2022款 552T 智享型,别克君威高速行驶中天窗漏风 风噪大,车身电器,2023-12-31,用户评分
1081548,长安汽车,长安欧尚X7 PLUS,2022款 1.5T 蓝鲸版 自动 Geeker旗舰型,长安欧尚X7 PLUS保镖模式不工作车机不升级,车身电器,2023-12-31,用户评分
1081541,长城汽车,哈弗H6,2020款 1.5GDIT 自动 铂金都市版,哈弗H6车机功能到期后多选功能无法使用,服务收费,2023-12-31,处理反馈
1081531,一汽-大众,速腾,2023款 280TSI DSG 超越版,一汽大众速腾制动刹车偶发性卡顿,制动系统,2023-12-31,用户评分
1081520,别克,君威,2020款 652T 精英型,别克君威发动机冷车启动延迟,发动机,2023-12-31,用户评分
1081517,江汽集团,思皓E50A,2021款 畅享版,思皓E50A动力电池无法进行充电,车身电器,2023-12-31,用户评分
1081514,一汽-大众,T-ROC探歌,2019款 280TSI DSG 两驱 进取型 国VI,一汽大众T-ROC探歌四条韩泰轮胎开裂,轮胎,2023-12-31,用户评分
1081513,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车门生锈 希望厂家处理,车身电器,2023-12-31,用户评分
1081510,江西五十铃,mu-X牧游侠,2020款 1.9T 柴油 自动 四驱 劲享版 5座 国VI,五十铃mu-X牧游EGR阀卡滞 无法提速,发动机,2023-12-31,信息审核
1081508,江铃汽车,域虎7,2022款 2.0T 手动 柴油 四驱 舒享型 标轴,江铃域虎7发电机故障导致电瓶亏电,车身电器,2023-12-31,用户评分
1081504,奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 7座,捷途X70 PLUS蓄电池频繁亏电无法启动,车身电器,2023-12-31,用户评分
1081496,一汽丰田,RAV4荣放,2021款 2.0L CVT 四驱 风尚PLUS版,一汽丰田RAV4荣放车门生锈 车机未更新,车身电器,2023-12-31,处理反馈
1081492,上汽通用雪佛兰,探界者,2021款 535T 驰界版,雪佛兰探界者冷车启动困难 发动机故障灯亮,发动机,2023-12-31,处理反馈
1081486,东风本田,思域,2021款 HATCHBACK 220TURBO CVT 新锐控,东风本田思域优科豪马轮胎掉皮,轮胎,2023-12-31,用户评分
1081475,上汽集团,科莱威CLEVER,2020款 都市 风尚版,上汽荣威科莱威CLEVER动力电池故障,车身电器,2023-12-31,用户评分
1081469,长安汽车,长安CS75 PLUS,2021款 2.0T 自动 领航型,长安CS75 PLUS车机死机 车载互联故障,车身电器,2023-12-31,处理反馈
1081453,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车门螺丝生锈严重,车身电器,2023-12-31,处理反馈
1081426,比亚迪,宋PLUS新能源,2021款 DM-i 110KM 旗舰型,比亚迪宋PLUS新能源EV模式下发动机自启动,发动机,2023-12-31,用户评分
1081421,比亚迪,唐新能源,2021款 DM-i 112KM 尊荣型,比亚迪唐新能源纯电模式下启动发动机,发动机,2023-12-31,用户评分
1081414,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英PLUS版,一汽丰田卡罗拉车机系统未提供升级服务,服务,2023-12-31,处理反馈
1081384,长安汽车,逸动,2019款 蓝鲸版 280T GDI DCT 极速型,长安逸动车顶生锈 车机系统不升级,车身电器,2023-12-31,处理反馈
1081370,特斯拉中国,Model Y,2022款 后轮驱动版,特斯拉Model Y主驾驶座椅靠背掉色,车身电器,2023-12-31,用户评分
1081369,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车门螺丝生锈 系统不升级,车身电器,2023-12-31,处理反馈
1081359,比亚迪,唐新能源,2022款 DM-p 215KM 四驱 旗舰型,比亚迪唐新能源EV模式自启发动机车机卡顿,发动机,2023-12-31,处理反馈
1081351,比亚迪,唐新能源,2021款 DM-i 112KM 尊荣型,比亚迪唐新能源纯电模式下启动发动机,发动机,2023-12-31,处理反馈
1081349,一汽丰田,RAV4荣放,2021款 2.0L CVT 两驱 风尚PLUS版,一汽丰田RAV4荣放车身生锈 希望厂家处理,车身电器,2023-12-31,处理反馈
1081348,奇瑞汽车,艾瑞泽5,2021款 PRO 1.5L CVT 青春版,奇瑞艾瑞泽5经销商出售问题车 希望厂家处理,销售欺诈,2023-12-31,处理反馈
1081346,比亚迪,唐新能源,2021款 DM-i 112KM 尊贵型,比亚迪唐新能源发动机在EV模式强制启动,发动机,2023-12-31,用户评分
1081342,一汽丰田,RAV4荣放,2022款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车门螺丝生锈严重,车身电器,2023-12-31,处理反馈
1081336,别克,君威,2021款 552T 精英型,别克君威发动机启动困难抖动 变速箱顿挫,发动机,2023-12-31,处理反馈
1081329,一汽丰田,RAV4荣放,2021款 2.0L CVT 四驱 尊贵版,一汽丰田RAV4荣放车门螺丝生锈严重,车身电器,2023-12-31,处理反馈
