排名,品牌,车系,车型属性,品牌属性,国别,数量
1,比亚迪,宋PLUS新能源,紧凑型SUV,自主,自主,4917
2,比亚迪,汉,中大型车,自主,自主,2867
3,广汽丰田,凯美瑞,中型车,合资,日系,2056
4,比亚迪,唐新能源,中型SUV,自主,自主,1661
5,比亚迪,宋Pro新能源,紧凑型SUV,自主,自主,1424
6,比亚迪,秦PLUS,紧凑型车,自主,自主,1256
7,别克,君威,中型车,合资,美系,1177
8,一汽丰田,RAV4荣放,紧凑型SUV,合资,日系,1145
9,一汽丰田,卡罗拉,紧凑型车,合资,日系,959
10,长城汽车,魏牌 蓝山DHT-PHEV,中大型SUV,自主,自主,903
11,一汽丰田,皇冠,中大型车,合资,日系,845
12,一汽丰田,锐志,中型车,合资,日系,817
13,华晨宝马,宝马3系,中型车,合资,德系,632
14,上汽通用雪佛兰,迈锐宝XL,中型车,合资,美系,554
15,广汽丰田,雷凌,紧凑型车,合资,日系,548
16,别克,昂科威,中型SUV,合资,美系,534
16,一汽丰田,皇冠陆放,中型SUV,合资,日系,534
18,华晨宝马,宝马X3,中型SUV,合资,德系,493
19,长城汽车,哈弗H6,紧凑型SUV,自主,自主,477
20,比亚迪,海豹,中型车,自主,自主,465
21,华晨宝马,宝马5系,中大型车,合资,德系,464
22,广汽乘用车,传祺GS8,中型SUV,自主,自主,446
23,广汽本田,雅阁,中型车,合资,日系,444
24,比亚迪,驱逐舰05,紧凑型车,自主,自主,415
25,上汽大众,朗逸,紧凑型车,合资,德系,405
26,一汽丰田,卡罗拉锐放,紧凑型SUV,合资,日系,394
27,别克,君越,中型车,合资,美系,372
27,东风日产,天籁,中型车,合资,日系,372
29,广汽丰田,锋兰达,紧凑型SUV,合资,日系,369
30,东风本田,思域,紧凑型车,合资,日系,345
31,一汽-大众,迈腾,中型车,合资,德系,336
32,极氪,极氪001,中大型车,自主,自主,305
33,一汽-大众,速腾,紧凑型车,合资,德系,299
34,别克,威朗,紧凑型车,合资,美系,289
35,长城汽车,哈弗神兽,紧凑型SUV,自主,自主,267
36,别克,英朗,紧凑型车,合资,美系,253
37,广汽丰田,汉兰达,中型SUV,合资,日系,251
38,东风日产,轩逸,紧凑型车,合资,日系,245
39,一汽丰田,亚洲龙,中型车,合资,日系,242
40,上汽通用凯迪拉克,凯迪拉克XT5,中型SUV,合资,美系,223
41,长安福特,蒙迪欧,中型车,合资,美系,222
42,零跑汽车,零跑C11,中型SUV,自主,自主,219
43,长安汽车,长安CS75 PLUS,紧凑型SUV,自主,自主,211
44,东风本田,本田CR-V,紧凑型SUV,合资,日系,210
45,小鹏汽车,小鹏P7,中型车,自主,自主,201
46,长安汽车,逸动,紧凑型车,自主,自主,193
47,吉利汽车,博越,紧凑型SUV,自主,自主,191
48,比亚迪,元PLUS,紧凑型SUV,自主,自主,185
49,上汽通用凯迪拉克,凯迪拉克CT5,中型车,合资,美系,184
50,一汽-大众,探岳,中型SUV,合资,德系,183
